name, from_node, to_node, status
N200_to_N201,N200,N201,1
N200_to_N202,N200,N202,1
N200_to_N203,N200,N203,1
N200_to_N204,N200,N204,1
N204_to_N205,N204,N205,1
N205_to_N300,N205,N300,1
N303_to_N300,N300,N303,1
N304_to_N300,N300,N304,1
N305_to_N315,N315,N305,1
N306_to_N315,N315,N306,1
N300_to_N315,N315,N300,1
N307_to_N300,N307,N300,1
N308_to_N300,N308,N300,1
N400_to_N300,N300,N400,1
N507_to_N300,N300,N507,1
N507_to_N514,N507,N514,1
N518_to_N514,N518,N514,1
N518_to_N526,N518,N526,1
N627_to_N620,N627,N620,1
N614_to_N620,N614,N620,1
N614_to_N612,N614,N612,1
N608_to_N612,N608,N612,1
N608_to_N606,N608,N606,1
N400_to_N606,N606,N400,1
N731_to_N720,N731,N720,1
N720_to_N722,N720,N722,1
N707_to_N722,N707,N722,1
N707_to_N701,N707,N701,1
N701_to_N400,N707,N400,1
N850_to_N838,N850,N838,1
N838_to_N811,N838,N811,1
N811_to_N808,N811,N808,1
N806_to_N808,N806,N808,1
N806_to_N801,N806,N801,1
N801_to_N400,N801,N400,1
N941_to_N937,N941,N937,1
N937_to_N931,N937,N931,1
N931_to_N921,N931,N921,1
N921_to_N920,N921,N920,1
N920_to_N916,N920,N916,1
N916_to_N911,N916,N911,1
N911_to_N910,N911,N910,1
N910_to_N901,N910,N901,1
N901_to_N400,N901,N400,1
LD5_to_N400,LD5,N400,1
N104_to_N400,N104,N400,1
N104_to_N103,N104,N103,1
N103_to_N100,N103,N100,1
N100_to_N101,N100,N101,1
N100_to_N102,N100,N102,1
N811_to_N813,N811,N813,1
N813_to_N822,N813,N822,1
N822_to_N829,N822,N829,1
N829_to_N831,N829,N831,1